,Company Name,Amount Declared,No of HCP HCO Declared,Amount Undeclared,No of HCP HCO Undeclared,Total Amount,Total HCOs/HCPs,Proportion of names undeclared,Proportion of total amount undeclared
73,Sanofi Aventis,2144857.2,1458,781830.07,256.0,2926687.27,1714.0,14.9358226371,26.7138234418
64,Otsuka Pharmaceuticals UK Ltd,421987.94,385,151710.28,167.0,573698.22,552.0,30.2536231884,26.4442654188
52,Merck Serono Ltd,1354371.14,477,457600.12,402.0,1811971.26,879.0,45.7337883959,25.2542703133
2,AbbVie Limited,1857481.9,1236,627200.13,532.0,2484682.03,1768.0,30.0904977376,25.2426717957
46,Guerbet Laboratories Ltd,66134.07,22,21458.24,35.0,87592.31,57.0,61.4035087719,24.4978583166
86,Vifor Pharma UK Ltd,314865.61,221,94484.26,110.0,409349.87,331.0,33.2326283988,23.0815414696
31,Chiesi Ltd,918531.93,1914,231972.42,442.0,1150504.35,2356.0,18.7606112054,20.1626721359
26,Bracco UK Ltd,23352.03,8,5845.95,20.0,29197.98,28.0,71.4285714286,20.0217617794
43,Gilead,1468482.14,923,344354.14,208.0,1812836.28,1131.0,18.3908045977,18.9953248288
71,Roche Products Limited,2857887.54,971,641933.39,699.0,3499820.93,1670.0,41.8562874251,18.3418924236
50,Lundbeck Ltd,823455.56,636,183291.55,101.0,1006747.11,737.0,13.7042062415,18.2063149901
3,Accretio,3727.0,8,810.0,2.0,4537.0,10.0,20.0,17.853206965
14,AstraZeneca,5505380.24,3771,1161037.42,300.0,6666417.66,4071.0,7.36919675755,17.4162118129
11,Amgen Ltd,778755.56,726,155271.97,128.0,934027.53,854.0,14.9882903981,16.6239179267
48,Janssen-Cilag Ltd,4847919.43,3761,910224.29,505.0,5758143.72,4266.0,11.8377871542,15.8075993629
8,Alliance Pharmaceuticals Ltd,24805.9,74,4527.2,6.0,29333.1,80.0,7.5,15.4337591322
66,Pfizer Ltd,6905728.17,3805,1211279.59,1215.0,8117007.76,5020.0,24.203187251,14.9227353948
18,Baxter Healthcare Ltd,473798.19,567,80241.46,245.0,554039.65,812.0,30.1724137931,14.4829814978
44,GlaxoSmithKline plc,5704678.15,2108,962926.2,48.0,6667604.35,2156.0,2.22634508349,14.441861716
35,Dermal,64643.97,137,10671.0,41.0,75314.97,178.0,23.0337078652,14.1684979759
54,Merz Pharma UK Ltd,842763.03,313,138675.25,287.0,981438.28,600.0,47.8333333333,14.1297983608
33,Consilient Health Ltd,198576.0,275,32306.0,23.0,230882.0,298.0,7.71812080537,13.992429033
59,Novartis Pharmaceuticals UK Ltd,5015272.58,2253,813557.28,384.0,5828829.86,2637.0,14.5620022753,13.9574717317
30,Celgene Ltd,1015286.79,735,144145.79,52.0,1159432.58,787.0,6.60736975858,12.4324426005
34,Daiichi Sankyo UK Ltd,294027.0,100,39480.0,32.0,333507.0,132.0,24.2424242424,11.8378324893
62,Orion Pharma (UK) Ltd,110716.75,255,14369.47,104.0,125086.22,359.0,28.9693593315,11.487652277
42,Genzyme,1669806.35,350,186860.0,87.0,1856666.35,437.0,19.9084668192,10.064274607
49,Leo Pharma Laboratories Ltd,770642.96,981,82499.5,81.0,853142.46,1062.0,7.62711864407,9.67007315519
16,Bausch & Lomb UK Ltd,100226.81,86,10364.8,4.0,110591.61,90.0,4.44444444444,9.3721395321
23,Biogen Idec Ltd,3465163.04,263,357962.73,303.0,3823125.77,566.0,53.5335689046,9.36309061054
1,ALK-Abello Ltd,106427.05,99,10675.02,15.0,117102.07,114.0,13.1578947368,9.11599598538
82,Teva UK Limited,870428.89,969,77688.26,55.0,948117.15,1024.0,5.37109375,8.19395155968
58,Norgine,294212.0,499,23951.0,46.0,318163.0,545.0,8.44036697248,7.52790236451
78,Sobi Ltd,225173.11,168,18132.54,21.0,243305.65,189.0,11.1111111111,7.45257662533
10,Amdipharm Mercury Company Ltd,168014.93,68,11180.0,13.0,179194.93,81.0,16.049382716,6.23901580251
63,Orphan Europe UK Ltd,28852.03,14,1882.01,4.0,30734.04,18.0,22.2222222222,6.12353598811
55,Mitsubishi Tanabe Pharma Europe Ltd,41576.33,35,2000.0,1.0,43576.33,36.0,2.77777777778,4.58964763669
40,Galen Ltd,84302.05,80,4050.0,1.0,88352.05,81.0,1.23456790123,4.58393438522
65,PTC Therapeutics Limited,251060.9,18,10802.6,17.0,261863.5,35.0,48.5714285714,4.12527900987
22,BioMarin Europe Ltd,378904.0,89,15758.0,4.0,394662.0,93.0,4.30107526882,3.99278369846
69,Profile Pharma Ltd,306608.26,50,10349.25,3.0,316957.51,53.0,5.66037735849,3.2651852925
17,Baxalta UK Ltd,699412.29,114,19861.05,12.0,719273.34,126.0,9.52380952381,2.76126597435
84,UCB Pharma Ltd,2954987.53,513,80841.44,21.0,3035828.97,534.0,3.93258426966,2.66291154076
38,Ferring Pharma,387928.03,692,9230.37,14.0,397158.4,706.0,1.98300283286,2.32410292719
70,RB,160799.0,27,3160.0,5.0,163959.0,32.0,15.625,1.92731109607
39,Flynn Pharma,158640.52,114,2936.05,10.0,161576.57,124.0,8.06451612903,1.81712608456
68,Pierre Fabre Ltd,180692.81,196,690.46,2.0,181383.27,198.0,1.0101010101,0.380663552929
